"Part";"Value";"Device";"Package";"Description";"";
"C1";"CKS1206 1u/50V Y5V YAG 20%";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"CKS1206 1u/50V Y5V YAG 20%";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C3";"CKS1206 1u/50V Y5V YAG 20%";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C4";"CKS1206 1u/50V Y5V YAG 20%";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C5";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C7";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C8";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"IC1";"MEGA8-AI";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";
"IC2";"MEGA32-A";"MEGA32-A";"TQFP44";"MICROCONTROLLER";"";
"IC3";"MEGA8-AI";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";
"IC4";"MAX232";"MAX232";"DIL16";"RS232 TRANSEIVER";"";
"IC5";"ULN2003AD";"ULN2003AD";"SO16";"DRIVER ARRAY";"";
"IC6";"MAX481CSA";"MAX481CSA";"SO08";"RS485 TRANSEIVER";"";
"J1";"";"VG32SP";"VG32P";"PCB EUROCARD, 32-pin type C/AC, 5.08 mm";"";
"J2";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"";
"JP1";"";"JP3Q";"JP3Q";"JUMPER";"";
"LED1";"L-3P90-GREEN";"L-3P90-GREEN";"L-3P90";"";"";
"LED2";"L-3P90-YELLOW";"L-3P90-YELLOW";"L-3P90";"";"";
"LED3";"F1345PLD2-3B";"F1345PLD2-3B";"F1345PLD2-3B";"";"";
"LED4";"F1345PLD2-3B";"F1345PLD2-3B";"F1345PLD2-3B";"";"";
"LED5";"F1345PLD2-3B";"F1345PLD2-3B";"F1345PLD2-3B";"";"";
"LED6";"F1345PLD2-3B";"F1345PLD2-3B";"F1345PLD2-3B";"";"";
"Q1";"IRLL014";"IRLL014";"SOT223";"HEXFET® Power MOSFET 2 Drain connects";"";
"Q2";"IRLL014";"IRLL014";"SOT223";"HEXFET® Power MOSFET 2 Drain connects";"";
"Q3";"IRLL014";"IRLL014";"SOT223";"HEXFET® Power MOSFET 2 Drain connects";"";
"Q4";"14.7456";"XTAL";"HC49U70";"";"";
"Q5";"14.7456";"XTAL";"HC49U70";"";"";
"R1";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R2";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R4";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R5";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R6";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R7";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R8";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R9";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R10";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R11";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R12";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R13";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R14";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R15";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"SJ1";"";"SJ-DEFAULT";"SJ-D";"SMD solder JUMPER";"";
"U1";"ATPROG-V";"ATPROG-V";"6410-06";"";"";
